day,date,time,beg_time,end_time,location,id,session,type,sponsor,url,beg_time_round,end_time_round
Fri,7/27/2018,8:00 AM - 5:00 PM,8:00 AM,5:00 PM,F-Malaspina,216641,ASA Board of Directors Meeting (Closed),Other,ASA Board of Directors,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/ActivityDetails.cfm?SessionID=216641,8,17
Fri,7/27/2018,8:00 AM - 5:00 PM,8:00 AM,5:00 PM,F-Burrard Suite,216643,ASA Board of Directors Meeting -  Break-Out 1,Other,ASA Board of Directors,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/ActivityDetails.cfm?SessionID=216643,8,17
Fri,7/27/2018,8:00 AM - 4:00 PM,8:00 AM,4:00 PM,F-Douglas Boardroom,216645,ASA Board of Directors Meeting -  Break-Out 2,Other,ASA Board of Directors,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/ActivityDetails.cfm?SessionID=216645,8,16
Sat,7/28/2018,7:00 AM - 5:00 PM,7:00 AM,5:00 PM,F-Mackenzie I,216424,ACTStat 2018 Annual Meeting,Other,Association of Clinical and Translational Statisticians (formerly GCRC),http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/ActivityDetails.cfm?SessionID=216424,7,17
Sat,7/28/2018,7:30 AM - 6:00 PM,7:30 AM,6:00 PM,CC-West Ballroom Foyer,216194,JSM Main Registration,Other,JSM,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/ActivityDetails.cfm?SessionID=216194,7,18
Sat,7/28/2018,7:30 AM - 6:00 PM,7:30 AM,6:00 PM,CC-West Ballroom Foyer,216661,JSM Help Desk/Press Desk,Other,JSM,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/ActivityDetails.cfm?SessionID=216661,7,18
Sat,7/28/2018,7:30 AM - 6:00 PM,7:30 AM,6:00 PM,CC-West Ballroom Foyer,216718,Cyber Center,Other,JSM,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/ActivityDetails.cfm?SessionID=216718,7,18
Sat,7/28/2018,8:00 AM - 4:00 PM,8:00 AM,4:00 PM,F-Mackenzie II,216635,Preparing Graduate Students to Teach Statistics and Data Science,Other,ASA,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/ActivityDetails.cfm?SessionID=216635,8,16
Sat,7/28/2018,8:00 AM - 4:00 PM,8:00 AM,4:00 PM,F-Malaspina,216642,ASA Board of Directors Meeting (Closed),Other,ASA Board of Directors,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/ActivityDetails.cfm?SessionID=216642,8,16
Sat,7/28/2018,8:00 AM - 4:00 PM,8:00 AM,4:00 PM,F-Burrard Suite,216644,ASA Board of Directors Meeting -  Break-Out 1,Other,ASA Board of Directors,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/ActivityDetails.cfm?SessionID=216644,8,16
Sat,7/28/2018,8:00 AM - 4:00 PM,8:00 AM,4:00 PM,F-Douglas Boardroom,216646,ASA Board of Directors Meeting -  Break-Out 2,Other,ASA Board of Directors,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/ActivityDetails.cfm?SessionID=216646,8,16
Sat,7/28/2018,8:00 AM - 5:00 PM,8:00 AM,5:00 PM,CC-West Hall B,216696,Exhibitor Move-In and Lounge,Other,JSM,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/ActivityDetails.cfm?SessionID=216696,8,17
Sat,7/28/2018,8:00 AM - 12:00 PM,8:00 AM,12:00 PM,CC-East 11,,Shiny Essentials (ADDED FEE),Professional Development,ASA,https://www.amstat.org/EventDetail?Eventkey=JSM2018,8,12
Sat,7/28/2018,8:30 AM - 5:00 PM,8:30 AM,5:00 PM,CC-East 1,,Master the Tidyverse: An Introduction to R for Data Science (ADDED FEE),Professional Development,ASA,https://www.amstat.org/EventDetail?Eventkey=JSM2018,8,17
Sat,7/28/2018,8:30 AM - 5:00 PM,8:30 AM,5:00 PM,CC-East 8,,Joint Modeling of Longitudinal and Time-to-Event Data (ADDED FEE),Professional Development,"ASA, Biometrics Section",https://www.amstat.org/EventDetail?Eventkey=JSM2018,8,17
Sat,7/28/2018,8:30 AM - 5:00 PM,8:30 AM,5:00 PM,CC-East 12,,"Bayesian Thinking: Fundamentals, Computation, and Multilevel Modeling (ADDED FEE)",Professional Development,"ASA, Section on Bayesian Statistical Science",https://www.amstat.org/EventDetail?Eventkey=JSM2018,8,17
Sat,7/28/2018,8:30 AM - 5:00 PM,8:30 AM,5:00 PM,CC-East 13,,Propensity Score Methods: Concepts and Applications (ADDED FEE),Professional Development,ASA,https://www.amstat.org/EventDetail?Eventkey=JSM2018,8,17
Sat,7/28/2018,8:30 AM - 5:00 PM,8:30 AM,5:00 PM,CC-East 2/3,,Advanced R (ADDED FEE),Professional Development,ASA,https://www.amstat.org/EventDetail?Eventkey=JSM2018,8,17
Sat,7/28/2018,9:00 AM - 5:00 PM,9:00 AM,5:00 PM,CC-West 108,216585,Meeting of IDSSP Curriculum Team,Other,ASA,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/ActivityDetails.cfm?SessionID=216585,9,17
Sat,7/28/2018,9:00 AM - 5:00 PM,9:00 AM,5:00 PM,CC-West Hall A,216727,JSM Career Service (Job Posting and Resume Submission Only),Other,JSM,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/ActivityDetails.cfm?SessionID=216727,9,17
Sat,7/28/2018,10:00 AM - 5:00 PM,10:00 AM,5:00 PM,CC-West Ballroom Foyer,216771,Vancouver Restaurant & Tourism Information,Other,JSM,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/ActivityDetails.cfm?SessionID=216771,10,17
Sat,7/28/2018,1:00 PM - 5:00 PM,1:00 PM,5:00 PM,CC-East 11,,Introduction to the Design of Cluster Randomized Trials (ADDED FEE),Professional Development,ASA,https://www.amstat.org/EventDetail?Eventkey=JSM2018,13,17
Sat,7/28/2018,1:00 PM - 6:30 PM,1:00 PM,6:30 PM,CC-East 15,,Preparing Statisticians for Leadership: How to See the Big Picture and Have More Influence (ADDED FEE),Professional Development,ASA,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/https://www.amstat.org/EventDetail?Eventkey=JSM2018,13,19
Sat,7/28/2018,2:00 PM - 3:30 PM,2:00 PM,3:30 PM,F-Cheakamus,216547,ASA Task Force on Sexual Harassment (Closed),Other,ASA,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/ActivityDetails.cfm?SessionID=216547,14,16
Sun,7/29/2018,7:00 AM - 1:00 PM,7:00 AM,1:00 PM,F-Mackenzie I,216425,ACTStat 2018 Annual Meeting,Other,Association of Clinical and Translational Statisticians (formerly GCRC),http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/ActivityDetails.cfm?SessionID=216425,7,13
Sun,7/29/2018,7:00 AM - 8:30 AM,7:00 AM,8:30 AM,F-Burrard Suite,216461,CHANCE Business Meeting,Other,CHANCE,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/ActivityDetails.cfm?SessionID=216461,7,9
Sun,7/29/2018,7:30 AM - 8:30 PM,7:30 AM,8:30 PM,CC-West Ballroom Foyer,216195,JSM Main Registration,Other,JSM,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/ActivityDetails.cfm?SessionID=216195,7,21
Sun,7/29/2018,7:30 AM - 5:00 PM,7:30 AM,5:00 PM,F-Cheakamus,216455,NISS Writing Workshop,Other,NISS/ASA Writing Workshop,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/ActivityDetails.cfm?SessionID=216455,7,17
Sun,7/29/2018,7:30 AM - 10:00 AM,7:30 AM,10:00 AM,F-Malaspina,216602,Joint COP-Editors Meeting,Other,Committee on Publications,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/ActivityDetails.cfm?SessionID=216602,7,10
Sun,7/29/2018,7:30 AM - 8:30 PM,7:30 AM,8:30 PM,CC-West Ballroom Foyer,216681,JSM Help Desk/Press Desk,Other,JSM,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/ActivityDetails.cfm?SessionID=216681,7,21
Sun,7/29/2018,7:30 AM - 8:30 PM,7:30 AM,8:30 PM,CC-West Ballroom Foyer,216720,Cyber Center,Other,JSM,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/ActivityDetails.cfm?SessionID=216720,7,21
Sun,7/29/2018,8:00 AM - 4:00 PM,8:00 AM,4:00 PM,F-Terrace Room,216420,GSS LT - JSM Working Group ,Other,Eli Lilly and Company,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/ActivityDetails.cfm?SessionID=216420,8,16
Sun,7/29/2018,8:00 AM - 5:30 PM,8:00 AM,5:30 PM,CC-West Hall B,216737,Exhibitor Lounge,Other,JSM,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/ActivityDetails.cfm?SessionID=216737,8,18
Sun,7/29/2018,8:00 AM - 11:00 AM,8:00 AM,11:00 AM,CC-West Hall B,216753,Exhibitor Move-In,Other,JSM,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/ActivityDetails.cfm?SessionID=216753,8,11
Sun,7/29/2018,8:00 AM - 12:00 PM,8:00 AM,12:00 PM,CC-East 13,,Statistical and Computational Methods and Software for Microbiome and Metagenomics and Applications (ADDED FEE),Professional Development,"ASA, Section on Statistics in Genomics and Genetics",https://www.amstat.org/EventDetail?Eventkey=JSM2018,8,12
Sun,7/29/2018,8:00 AM - 12:00 PM,8:00 AM,12:00 PM,CC-East 15,,Preparing Statisticians for Leadership: How to See the Big Picture and Have More Influence (ADDED FEE),Professional Development,ASA,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/https://www.amstat.org/EventDetail?Eventkey=JSM2018,8,12
Sun,7/29/2018,8:30 AM - 11:30 AM,8:30 AM,11:30 AM,CC-East 20,216519,Council of Sections Governing Board Business Meeting,Other,Council of Sections Governing Board,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/ActivityDetails.cfm?SessionID=216519,8,12
Sun,7/29/2018,8:30 AM - 12:30 PM,8:30 AM,12:30 PM,CC-East 18,216544,Workshop for Department Chairs,Other,ASA Caucus of Academic Representatives,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/ActivityDetails.cfm?SessionID=216544,8,13
Sun,7/29/2018,8:30 AM - 5:00 PM,8:30 AM,5:00 PM,CC-East 1,,Master the Tidyverse: An Introduction to R for Data Science (ADDED FEE),Professional Development,ASA,https://www.amstat.org/EventDetail?Eventkey=JSM2018,8,17
Sun,7/29/2018,8:30 AM - 5:00 PM,8:30 AM,5:00 PM,CC-East 8,,Regression Modeling Strategies (ADDED FEE),Professional Development,"ASA, Biometrics Section",https://www.amstat.org/EventDetail?Eventkey=JSM2018,8,17
Sun,7/29/2018,8:30 AM - 5:00 PM,8:30 AM,5:00 PM,CC-East 12,,Art and Practice of Regression Trees and Forests (ADDED FEE),Professional Development,ASA,https://www.amstat.org/EventDetail?Eventkey=JSM2018,8,17
Sun,7/29/2018,8:30 AM - 5:00 PM,8:30 AM,5:00 PM,CC-East 11,,Practical Considerations for Bayesian and Frequentist Adaptive Clinical Trials (ADDED FEE),Professional Development,"ASA, Section on Bayesian Statistical Science",https://www.amstat.org/EventDetail?Eventkey=JSM2018,8,17
Sun,7/29/2018,8:30 AM - 5:00 PM,8:30 AM,5:00 PM,CC-East 2/3,,Data Science Workflows Using R and Spark (ADDED FEE),Professional Development,ASA,https://www.amstat.org/EventDetail?Eventkey=JSM2018,8,17
Sun,7/29/2018,9:00 AM - 10:30 AM,9:00 AM,10:30 AM,F-Nootka,216567,Caucus for Women in Statistics Governing Council Meeting,Other,Caucus for Women in Statistics,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/ActivityDetails.cfm?SessionID=216567,9,11
Sun,7/29/2018,9:00 AM - 7:00 PM,9:00 AM,7:00 PM,CC-West 103/104,216697,Speaker Management Room,Other,JSM,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/ActivityDetails.cfm?SessionID=216697,9,19
