title,url,has_fee
Shiny Essentials (ADDED FEE),http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/AbstractDetails.cfm?abstractid=333074,TRUE
Master the Tidyverse: An Introduction to R for Data Science (ADDED FEE),http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/AbstractDetails.cfm?abstractid=333076,TRUE
Joint Modeling of Longitudinal and Time-to-Event Data (ADDED FEE),http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/AbstractDetails.cfm?abstractid=333077,TRUE
"Bayesian Thinking: Fundamentals, Computation, and Multilevel Modeling (ADDED FEE)",http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/AbstractDetails.cfm?abstractid=333079,TRUE
Propensity Score Methods: Concepts and Applications (ADDED FEE),http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/AbstractDetails.cfm?abstractid=333078,TRUE
Advanced R (ADDED FEE),http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/AbstractDetails.cfm?abstractid=333075,TRUE
Introduction to the Design of Cluster Randomized Trials (ADDED FEE),http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/AbstractDetails.cfm?abstractid=333080,TRUE
Preparing Statisticians for Leadership: How to See the Big Picture and Have More Influence (ADDED FEE),http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/AbstractDetails.cfm?abstractid=333081,TRUE
Statistical and Computational Methods and Software for Microbiome and Metagenomics and Applications (ADDED FEE),http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/AbstractDetails.cfm?abstractid=333083,TRUE
Preparing Statisticians for Leadership: How to See the Big Picture and Have More Influence (ADDED FEE),http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/AbstractDetails.cfm?abstractid=333082,TRUE
Master the Tidyverse: An Introduction to R for Data Science (ADDED FEE),http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/AbstractDetails.cfm?abstractid=333087,TRUE
Regression Modeling Strategies (ADDED FEE),http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/AbstractDetails.cfm?abstractid=333084,TRUE
Art and Practice of Regression Trees and Forests (ADDED FEE),http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/AbstractDetails.cfm?abstractid=333086,TRUE
Practical Considerations for Bayesian and Frequentist Adaptive Clinical Trials (ADDED FEE),http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/AbstractDetails.cfm?abstractid=333085,TRUE
Data Science Workflows Using R and Spark (ADDED FEE),http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/AbstractDetails.cfm?abstractid=333088,TRUE
JSM Presentation Skills Workshop (FREE - NO REGISTRATION REQUIRED),http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/AbstractDetails.cfm?abstractid=333073,FALSE
Some Thoughts on AIG from a Canadian Perspective,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/AbstractDetails.cfm?abstractid=327127,FALSE
A Four-Part Introduction to Deep Learning,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/AbstractDetails.cfm?abstractid=333054,FALSE
The Role of Statistics in Improving Forensic Science,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/AbstractDetails.cfm?abstractid=326975,FALSE
Statistical Data Protection Needs Statisticians,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/AbstractDetails.cfm?abstractid=327016,FALSE
Causes of Effects and Effects of Causes: A Study of Shaken Baby Syndrome,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/AbstractDetails.cfm?abstractid=333149,FALSE
Framing Reproducibility Issues in Computationally- and Data-Enabled Research?,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/AbstractDetails.cfm?abstractid=326955,FALSE
"Transparency, Reproducibility, and Replicability",http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/AbstractDetails.cfm?abstractid=326864,FALSE
"Enhancement of Transparency, Reproducibility, and Replicability in the Integration of Multiple Data Sources",http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/AbstractDetails.cfm?abstractid=326704,FALSE
"Seeing the Big Picture in, and Having More Influence on, the Statistics Profession from Your Vantage Point",http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/AbstractDetails.cfm?abstractid=326614,FALSE
Leading Toward Evidence-Based Educational Improvement Using the CBMS Survey,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/AbstractDetails.cfm?abstractid=326732,FALSE
Stats on Stats: Statistical Sciences in the Annual Survey of the Mathematical Sciences,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/AbstractDetails.cfm?abstractid=326801,FALSE
Semiparametric Regression Analysis of Multiple Right- and Interval-Censored Events,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/AbstractDetails.cfm?abstractid=325456,FALSE
Quantile-Optimal Treatment Regimes,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/AbstractDetails.cfm?abstractid=326569,FALSE
Semiparametric Theory for Causal Inference with Negative Controls,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/AbstractDetails.cfm?abstractid=326984,FALSE
A Profile Likelihood Approach to Semiparametric Estimation with Nonignorable Nonresponse,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/AbstractDetails.cfm?abstractid=326676,FALSE
Optimal Pseudolikelihood Estimation in Multivariate Missing Data with Nonignorable Nonresponse,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/AbstractDetails.cfm?abstractid=326484,FALSE
A Bayesian Nonparametric Approach for Causal Inference with Semi-Competing Risks,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/AbstractDetails.cfm?abstractid=325454,FALSE
Regularization and Aliasing in the Estimation of Treatment Effect Moderation,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/AbstractDetails.cfm?abstractid=326590,FALSE
Bayesian Population Finding Using Counterfactual Modeling of Responses,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/AbstractDetails.cfm?abstractid=326860,FALSE
Causal Inference for Outcomes Partially Identified by Longitudinal Laboratory Measures from EHRs,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/AbstractDetails.cfm?abstractid=326829,FALSE
Bayesian Longitudinal Causal Inference in the Analysis of the Public Health Impact of Air Pollution,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/AbstractDetails.cfm?abstractid=326657,FALSE
Model Calibration of a Protein-Signaling Network,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/AbstractDetails.cfm?abstractid=326862,FALSE
High-Dimensional MCMC Diagnostics with Application to Spatial Text Clustering of Beer Flavours,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/AbstractDetails.cfm?abstractid=326938,FALSE
Bayesian Inference for Phylogenetic Trees and Networks,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/AbstractDetails.cfm?abstractid=326770,FALSE
A Bayesian Nonparametric Model for Community Discovery on the Bitcoin Transaction Network,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/AbstractDetails.cfm?abstractid=333130,FALSE
Teaching Students to Think About Data Representation,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/AbstractDetails.cfm?abstractid=326573,FALSE
An Interdisciplinary Approach to Data Science Education,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/AbstractDetails.cfm?abstractid=326679,FALSE
Scaling a Data Science Curriculum to the Masses: Success and Failures in the Undergraduate Classroom,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/AbstractDetails.cfm?abstractid=326930,FALSE
Data Science: a Recent Graduate's 'Reverse Engineered' Perspective,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/AbstractDetails.cfm?abstractid=326944,FALSE
State-Space Modeling Applications in Fisheries Science and Management,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/AbstractDetails.cfm?abstractid=326823,FALSE
Non-Standard Model Building and Model Validation Examplified by Fish Stock Assessment,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/AbstractDetails.cfm?abstractid=327030,FALSE
Statistical Modeling of Animal Movement,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/AbstractDetails.cfm?abstractid=326653,FALSE
Spatially Informed Variable Selection Priors and Application to Neuroimaging Data,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/AbstractDetails.cfm?abstractid=325458,FALSE
Analysis and Visualization for Large-Scale Scientific Simulations,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/AbstractDetails.cfm?abstractid=326688,FALSE
Nonparametric Empirical Bayes Methods for High Dimension Problems ,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/AbstractDetails.cfm?abstractid=326902,FALSE
Data-Driven Regularization and Priors in GWAS and Mediation Analysis ,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/AbstractDetails.cfm?abstractid=326925,FALSE
Retrospective Study Designs for Longitudinal Data Obtained from a Biobank-Linked Electronic Medical Record,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/AbstractDetails.cfm?abstractid=326576,FALSE
Efficiently Controlling for Unbalanced Case-Control Ratios and Sample Relatedness for Binary Traits in PheWAS by Large Cohorts,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/AbstractDetails.cfm?abstractid=326603,FALSE
Scalable Methods for Association Analysis in Biobank Scale Data Sets,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/AbstractDetails.cfm?abstractid=326871,FALSE
Enabling Phenotypic Big Data with PheNorm,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/AbstractDetails.cfm?abstractid=325464,FALSE
Simultaneous Genetic Analysis of Sequence Data from a Pair of Organisms That Jointly Influence a Phenotype,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/AbstractDetails.cfm?abstractid=326577,FALSE
Genetic Analysis of High-Dimensional Phenotypes,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/AbstractDetails.cfm?abstractid=326659,FALSE
Rare Variant Prioritization Using Structure-Supervised Locus-Specific Tests,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/AbstractDetails.cfm?abstractid=326579,FALSE
"Unified Sequence Based Association Tests Allowing for Multiple Functional Annotation Scores, and Applications to Meta-Analysis of Noncoding Variation in Metabochip Data",http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/AbstractDetails.cfm?abstractid=330978,FALSE
Statistical Modeling of Brain Networks Using Multimodal Neuroimaging ,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/AbstractDetails.cfm?abstractid=326857,FALSE
Template ICA: Estimating Resting-State Networks from fMRI in Individual Subjects Using Empirical Population Priors,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/AbstractDetails.cfm?abstractid=326511,FALSE
